question,option_l,option_r,answer,type
问渠那得清如许 出自哪位诗人笔下,朱熹,李白,朱熹,factoid
隋炀帝杨广死于兵败自杀,错误,正确,,yesno
衡阳雁去无留意 出自哪位诗人,欧阳修,范仲淹,,factoid
下面哪种动物是由雄性生宝宝呢,袋鼠,海马,,factoid
成语 感激涕零 中的 涕 指的是,喷嚏,眼泪,,factoid
没有错别字的成语是,不孝子孙,不可名状,,factoid
金庸的首部长篇武侠小说是,越女剑,书剑恩仇录,,factoid
网红 皮皮虾 的学名叫什么,虾蛄,富贵虾,虾蛄,factoid
隋炀帝杨广死于兵败自杀,错误,正确,,yesno
戴高乐号 航空母舰是哪个国家建造的,美国,法国,法国,factoid
哪位希腊女神把美杜莎从美少女变成了蛇发女妖,雅典娜,赫斯提亚,,factoid
李清照的词句 生当作人杰 的下句是 死亦为鬼雄,错误,正确,正确,yesno
中国历史上 宋朝之后的朝代是,汉朝,元朝,元朝,factoid
代表作有 背影 的中国著名文学家是鲁迅,错误,正确,错误,yesno
蜗牛是软体动物,错误,正确,,yesno
穿越时空的爱恋 中由徐峥扮演的建文帝名叫什么,朱允炆,朱重八,朱允炆,factoid
灌篮高手 中樱木花道第一次正式上场得了多少分,4分,2分,,factoid
下列哪位科学家是犹太人,爱因斯坦,拉瓦锡,爱因斯坦,factoid
被称为 音乐神童的奥地利知名音乐家是,舒伯特,莫扎特,,factoid
好望角位于哪个大洲,非洲,大洋洲,非洲,factoid
C语言的发明者是,爱迪生,丹尼斯里奇,丹尼斯里奇,factoid
英联邦国家的官方语言是,西班牙语,英语,英语,factoid
身无彩凤双飞翼 心有灵犀一点通 是李商隐的诗句,错误,正确,,yesno
东风不与周郎便 铜雀春深锁二乔 描写的是古代战役赤壁之战,错误,正确,,yesno
下列不是有新海诚创作的作品是,千与千寻,言叶之庭,千与千寻,factoid
东汉光武帝刘秀统治时期出现的治世 光武中兴 也称为,建武盛世,康乾盛世,,factoid
尖椒干豆腐是哪个地域的名菜,东北,西北,,factoid
哪位华人男演员在电影 魔兽 中饰演了古尔丹一角,古天乐,吴彦祖,吴彦祖,factoid
非洲人口最多的国家是,南非,尼日利亚,南非,factoid
红楼梦 中林黛玉的母亲叫,贾敏,贾环,,factoid
兵书 孙子兵法 的作者是,孙膑,孙武,,factoid
电视剧 西游记 中 孙悟空逃不出谁的五指山,菩萨,如来佛,如来佛,factoid
下列哪个是西班牙的首都,南京,马德里,马德里,factoid
诗句会当凌绝顶的下一句是,一览众山小,云深不知处,一览众山小,factoid
河南省的简称是什么?,豫,,豫,factoid
中国男足曾入围哪一年世界杯,2012年,2002年,2002年,factoid
下列哪一词中的 累 字读四声,劳累,积累,劳累,factoid
下列人物中 有 铁血宰相之称的是,俾斯麦,古德里安,,factoid
菊月 指的是农历的哪个月份,九月,十月,,factoid
工笔 是哪种绘画形式的技法,国画,水粉画,,factoid
周星驰的电影中 由李健仁扮演的经典搞笑丑女形象叫如花,错误,正确,正确,yesno
1盎司等于多少克,约28.35,29,约28.35,factoid
相看两不误 只有敬亭山是谁的诗,李白,王维,,factoid
大汶口文化遗址在我国的湖南,错误,正确,,yesno
世界上最长的内流河是,伏尔加河,尼罗河,,factoid
红楼梦 中人送绰号 呆霸王 的是,薛蟠,贾瑞,薛蟠,factoid
知名超跑布加迪威龙的引擎形式是什么,W型16缸,W型14缸,W型16缸,factoid
下列哪位不是二战时的盟军将领,海因里齐,蒙哥马利,,factoid
下列未把葡萄牙语列为官方语言的国家是,墨西哥,马来西亚,,factoid
全世界最大的动物是,虎鲸,蓝鲸,,factoid
北京奥运会游泳比赛场馆是,水立方,首都体育馆,水立方,factoid
黄鹤楼 位于哪个城市,西安,武汉,武汉,factoid
大同市属于我国哪个省,山西省,贵州省,山西省,factoid
四大名茶之一的龙井茶产地是浙江杭州,错误,正确,正确,yesno
下列选项中没有错别字的一组成语是,脍炙人口,尔於我诈,,factoid
火线和零线哪个带电,都不带电,火线,火线,factoid
金庸的第一部武侠小说是 书剑恩仇录,错误,正确,,yesno
四大名香 之首是,沉香,龙涎香,沉香,factoid
电视剧 大军师司马懿之军师联盟 的第二季标题是,虎啸龙吟,统天下,虎啸龙吟,factoid
何方可化身千亿 一树梅花一放翁 出自下列哪位诗人,陆游,杜甫,陆游,factoid
你参加赛跑 当你超过了第2名后 你是第几名,第2名,第1名,,factoid
世界上邻国最多的国家是,日本,中国,,factoid
名句 前人裁树 的下一句是,后人砍树,后人乘凉,,factoid
下列是亚洲四小龙之一的是,韩国,马来西亚,,factoid
辛亥革命的先驱 与孙中山并称 孙黄 的 黄 是指黄飞鸿,错误,正确,,yesno
下列不属于 水浒传 中 阮式三雄 的是,阮小五,阮小六,,factoid
酒肉和尚常用 酒肉穿肠过和哪句话来解释自己的破戒行为,佛祖留身边,佛祖心中留,,factoid
红丝带 是哪种疾病的防治宣传标志,艾滋病,白血病,,factoid
在所有的运动项目中 被称为 运动之母 的是什么项目,田径,自行车,,factoid
曾著有 巴黎圣母院 悲惨世界 的是法国著名文学家雨果,错误,正确,,yesno
在数学公式中我们一般用哪个英文字母标注圆形的半径?,,,,factoid
五岳中被称为 中岳 的是,衡山,嵩山,,factoid
三国演义 中的马腾是哪一地区的太守,汝南,西凉,,factoid
指南针标记TN指向的方向是,西方,北方,北方,factoid
世界公认第一个发现美洲大陆的是,哥伦布,哥白尼,哥伦布,factoid
蛔虫生活在人体内属于寄生关系,错误,正确,正确,yesno
西游记 中 沙僧在天庭时原本的职位是卷帘大将,错误,正确,,yesno
我国最长的内河流是,塔里木河,长江,塔里木河,factoid
鲸鱼属于下列哪一类动物,爬行动物,哺乳动物,哺乳动物,factoid
下列单词词性中属于 luck 词性的是,介词,名词,介词,factoid
最早的春联是刻在木头上的,错误,正确,正确,yesno
下述哪种曲线不属于圆锥曲线,正弦曲线,双曲线,正弦曲线,factoid
铁路上使用的铁轨从切面看像哪个汉字,工,田,工,factoid
哪个国家以19个法定节假日成为世界上法木兰辞 中说的 扑朔迷离 指的动物是兔子苏轼,苏烈,苏烈,factoid
葡萄糖的元素组成成分是,碳、氮、氧,碳、氢、氧,,factoid
理性纯洁的精神恋爱又被人们称为哪位哲学家式的爱情,沙图什,柏拉图,柏拉图,factoid
如果三个人三天吃三个苹果 那么九个人九天吃多少个苹果,27个,28个,27个,factoid
名侦探柯南 中 灰原民族英雄郑成功出生于哪年哪位角色因吃了缩小药丸而变小,灰原哀,毛利兰,,factoid
下列被誉为娱乐圈 带货女王 的是,杨幂,林心如,杨幂,factoid
下列相声演员中 曾师从马季的是,冯巩,于谦,冯巩,factoid
民族英雄郑成功出生于哪年,1624,1636,1624,factoid
动画 银魂 的主角坂田银时在攘夷时期的称号是,白夜叉,白修罗,白夜叉,factoid
中国历史第一位皇帝赢政 他父亲的名字是,嬴子楚,赢政,,factoid
最大的海洋是,太平洋,印度洋,太平洋,factoid
荔枝的原产地是中国,错误,正确,正确,yesno
EUR是什么币种的外汇英文简称,人民币,欧元,欧元,factoid
浪淘沙令帘外雨潺潺 的作者是,苏轼,李煜,,factoid
我国古代四大发明不包括哪项,地动仪,活字印刷,地动仪,factoid
中东哪一城市是三个宗教的圣地,耶路撒冷,大马士革,耶路撒冷,factoid
老友粉 是广西哪个地方的特色小吃,南宁,柳州,,factoid
太阳中心说是哥伦布提出的,错误,正确,错误,yesno
著名的 命运交响曲 的作者是谁,贝多芬,拿破仑,贝多芬,factoid
大汶口文化遗址在我国的湖南,错误,正确,,yesno
北半球白天最短是哪一天,冬至,立冬,,factoid
澳门于哪一年回归祖国,1997,1999,1999,factoid
人体中最大的消化腺是,小肠,肝脏,小肠,factoid
俗话说 笑一笑 十年少愁一愁 的下一句是什么,眉头皱,白了头,白了头,factoid
下列选项中又被称为 惯性定律 的是,牛顿第二定律,牛顿第一定律,,factoid
古诗 圣泉宴 的作者是,杜甫,王勃,,factoid
写下 多情自古伤离别 的婉约派代表性人物是,柳永,李清照,,factoid
明清时代的北京城又叫做,八臂哪吒城,汴梁,,factoid
世界最高峰的海拔约为多少米,8878,8844,8844,factoid
下列哪种物质的水溶液是酸性,氟化氢,氢氧化钠,氟化氢,factoid
第一架望远镜是由爱迪生发明,错误,正确,错误,yesno
世界第二高峰是,乔戈里峰,珠穆朗玛峰,乔戈里峰,factoid
辽宁省的省会是,长春,沈阳,沈阳,factoid
兼葭苍苍 的下一句是,白露为霜,所谓伊人,白露为霜,factoid
世事洞明皆学问 人情练达皆文章出自哪部文学作品,红楼梦,西厢记,红楼梦,factoid
在中国有 天下第一奇山 美誉的是什么山,黄山,华山,黄山,factoid
长水国际机场 是我国哪个城市的机场,长沙,昆明,昆明,factoid
绿色植物在呼吸作用下会吸收哪种气体,氮气,氧气,氧气,factoid
南宋定都杭州 北宋当时的都城是今天的哪座城市,北京,开封,,factoid
历史故事鸿门宴中 下列哪一历史人物未参与 鸿门宴,樊哙,曹无伤,曹无伤,factoid
我国国家注册会计师的英文简称是,CFA,CPA,CPA,factoid
人体吸入哪种气体可以变声,氦气,氢气,氦气,factoid
俗话说 生于苏杭 葬于北邙 其中的 北邙 位于,南京,洛阳,,factoid
冰变成水属于哪种物态变化,汽化,熔化,熔化,factoid
英国使节马戛尔尼不行三跪九叩之礼 令哪位清朝皇帝不悦,乾隆,康熙,,factoid
下列选项中又被称为 惯性定律 的是,牛顿第二定律,牛顿第一定律,,factoid
广东潮州哪座桥是中国四大古桥之,潮州桥,广济桥,广济桥,factoid
太阳系的八大行星中 距离太阳最近的行星是,水星,金星,,factoid
下列哪部电影不是由成龙主演,整蛊专家,醉拳,整蛊专家,factoid
古诗 圣泉宴 的作者是,杜甫,王勃,,factoid
天长地久有时尽 此恨绵绵无绝期 出自哪部作品,短歌行,长恨歌,,factoid
两点之间的所有连线中 什么类型的线最短,线段,折线,线段,factoid
空气中含量最多的气体是,二氧化碳,氮气,氮气,factoid
美国的第一任总统是,克林顿,华盛顿,华盛顿,factoid
数字「4」开根号得到多少?,8,2,２,factoid
写下 多情自古伤离别 的婉约派代表性人物是,柳永,李清照,,factoid
明清时代的北京城又叫做,八臂哪吒城,汴梁,八臂哪吒城,factoid
微博上 人们常把通过了微博认证 并且粉丝众多的大号叫做,大V,大K,大V,factoid
下列选项中不属于中国 五行 的是,风,火,风,factoid
中国历史上战国七雄不包括以下哪个国家,韩,吴,吴,factoid
以下哪种酸的氧化性最强,草酸,次氯酸,,factoid
历史上 武王伐纣 中的纣王是哪个朝代的国君,晋,商,,factoid
我国最大的三角洲是长江三角洲,错误,正确,正确,yesno
除法算式的结果被称为,商,积,商,factoid
下列漫画作品中 不属于鸟山明的是,恶魔少年,北斗神拳,,factoid
古时称厨师为,庖,丁,庖,factoid
醉打蒋门神 是 水浒传 中哪位人物的故事,武松,林冲,,factoid
电视剧 水浒传 中 鲁智深的称号是,草和尚,花和尚,花和尚,factoid
乌菲兹美术馆位于哪个城市,罗马,佛罗伦萨,佛罗伦萨,factoid
疏影横斜水清浅 暗香浮动月黄昏 这句古诗形容的是哪种花,梅花,月季,,factoid
桑巴舞起源于哪个国家,美国,巴西,巴西,factoid
名军大将莫自牢 千军万马避白袍 指的是哪位历史人物,陈庆之,罗成,,factoid
道尔顿症 是哪种眼科先天性障碍的别称,色盲,色弱,,factoid
卤煮 是哪个城市的地方传统小吃,驻马店,北京,北京,factoid
太阳系八大行星中体积最小的是,地球,水星,水星,factoid
美术素描中 亮部与暗部的交界被称为,柔和面,过渡面,过渡面,factoid
唐朝开国皇帝是,李世民,李渊,李渊,factoid
《红楼梦》中的「湘云」姓?,史,薛,史,factoid
香烟中会减低红血球输送能力的有害物质是,氧化碳,尼古丁,尼古丁,factoid
电视剧 西游记 中 孙悟空诞生时是从哪种物体里蹦出来的,石头,火焰,石头,factoid
sin30°,0.5,0,0.5,factoid
野兽派画家的代表人物是,马蒂斯,莫奈,马蒂斯,factoid
黄帝 的姓氏是,大禹,轩辕,轩辕,factoid
1998年 电影 泰坦尼克号 获得11项奥斯卡大奖,错误,正确,正确,yesno
长江是世界上第几大河?,1,3,３,factoid
动画 葫芦娃 中会隐身的是几娃,六娃,大娃,六娃,factoid
葡式蛋挞 是哪个城市的著名小吃,澳门,安徽,澳门,factoid
以下哪个地点是亚欧分界线之,量尔木兹海峡,里海,里海,factoid
五言律诗全诗共有多少字,26字,40字,40字,factoid
下列选项中哪项不属于联合国的常任理事国,英国,德国,德国,factoid
能分泌促甲状腺激素的部位是,大脑皮层,脑垂体,脑垂体,factoid
太阳系八大行星中 质量最大的是,天王星,木星,木星,factoid
beyond乐队写给母亲的一首歌曲是,真的爱你,喜欢你,真的爱你,factoid
世界上冰最多的地区是南极大陆,错误,正确,正确,yesno
完全摆脱地球引力需要达到什么速度,第二宇宙速度,第三宇宙速度,第二宇宙速度,factoid
加拿大首都是以下哪座城市,多伦多,渥太华,渥太华,factoid
清明上河图 是北宋画家张择端的作品,错误,正确,正确,yesno
六一居士是谁柳宗元的别号,错误,正确,错误,yesno
我国 全运会每几年举办一次,4年,3年,4年,factoid
下列哪种液体沸点低,酒精,水,酒精,factoid
世界第二大的内陆国家是,澳大利亚,蒙古国,蒙古国,factoid
传说太乙真人曾在其中修炼的翠华山位于我国哪条著名山脉,秦岭山脉,昆仑山脉,秦岭山脉,factoid
以下东南亚国家中人口最多的国家是,菲律宾,印度尼西亚,印度尼西亚,factoid
荀子劝学 中名句 故木受绳则直的下一句是,金就砺则利,物各从其类也,金就砺则利,factoid
网球起源于哪个国家?,美国,法国,法国,factoid
古人称别人的父亲为令尊 称呼别人的母亲为,令堂,令爱,令堂,factoid
散文集 假如给我三天光明 的作者是,冰心,海伦凯勒,海伦凯勒,factoid
俗话说的 百善之首 是哪种品德,忠,孝,孝,factoid
朋友间会以恶作剧的方式来互开玩笑的愚人节在每年的4月1号,错误,正确,正确,yesno
绿茵豪门 绿茵场 中的 绿茵 常指代哪项体育运动,短跑,足球,足球,factoid
动态图片的英文缩写是,GIF,GIE,GIF,factoid
横眉冷对千夫指 俯首甘为孺子牛出自于鲁迅哪首诗,奋斗,自嘲,奋斗,factoid
下列不是岁寒三友的是,松,菊,菊,factoid
下列哪种维生素是脂溶性维生素,维生素B,维生素A,维生素A,factoid
蛋白质的基本单位是,氨基酸,核外电子,氨基酸,factoid
法国和西班牙的界山是哪一个,比利牛斯山,奥林匹斯山,比利牛斯山,factoid
以下哪个城市不是省会城市,厦门,杭州,厦门,factoid
因 爸爸去哪儿 大火的董力是什么项目的运动员,花剑,耍剑,花剑,factoid
下列选项中是物理学家的是,法拉第,柯西,法拉第,factoid
以下哪座山不属于 三山五岳 之一,峨眉山,雁荡山,峨眉山,factoid
离骚 中 长太息以掩涕兮 的下一句是,哀民生之多艰,竟周容以为度,哀民生之多艰,factoid
中国最古老的运河是,京杭大运河,灵渠,灵渠,factoid
从银行或其他金融机构按一定利率和条件借钱的行为称为,贷款,携款,贷款,factoid
穿山甲是用手捕食的,错误,正确,正确,yesno
资治通鉴 是我国北宋年间何人主编的一部历史巨著,欧阳修,司马光,司马光,factoid
螺祖为我们所熟知是因为她,养蚕制衣,炼石补天,,factoid
著名实验 薛定谔的猫 是对什么概念进行的模型化,量子叠加,量子破碎,量子叠加,factoid
著名的高速铁路线 欧洲之星 未拓展到哪个国家,英国,德国,德国,factoid
下列哪部名著不属于 莎士比亚四大悲剧,哈姆莱特,雾都孤儿,雾都孤儿,factoid
我们所说的安全电压是多少伏,36,28,36,factoid
常说的 天网恢恢 的下一句是,疏而不漏,要下小雨,疏而不漏,factoid
现役球员里 被称为 大圣 的足球运动员的是,加雷斯·贝尔,拉莫斯,加雷斯·贝尔,factoid
希腊神话当中 顾影自怜的美男子那喀索斯变成了什么植物,莱莉花,水仙花,水仙花,factoid
落霞与孤鹜齐飞 秋水共长天色 描写的是哪一名胜,岳阳楼,滕王阁,滕王阁,factoid
通常所说的计算机游戏ACT是指动作游戏,错误,正确,正确,yesno
足球明星迪迪埃德罗巴出生在哪国,科特迪瓦,南非,科特迪瓦,factoid
历史上的汉高祖叫什么名字,刘邦,刘备,刘邦,factoid
中国现代银行的鼻祖 日升昌票号建于,平遥县,太谷县,,factoid
在医学用图中 人体的静脉一般是用什么颜色标识,蓝色,灰色,蓝色,factoid
以下哪种鲨可以长期生活在淡水中,鲸鲨,牛鲨,牛鲨,factoid
名句 读书破万卷 的下一句是,来包方便面,下笔如有神,下笔如有神,factoid
郑燮是哪个朝代的著名书画家,宋朝,清朝,清朝,factoid
以下哪个选项不是修辞手法,排比,叙述,叙述,factoid
清朝时期所指的八旗子弟中不包括下列哪一个,镶蓝,镶紫,,factoid
秦始皇兵马俑位于陕西的哪一城市,铜川,西安,西安,factoid
长篇小说 傲慢与偏见 的作者是,简·奥斯汀,勃拉姆斯,简·奥斯汀,factoid
以下被称为二十世纪西方文化三大发现之一的是,牛顿运动定律,墨菲定律,墨菲定律,factoid
克劳德莫奈是哪个国家的著名画家,法国,瑞典,,factoid
下列名人未曾就读于剑桥大学的是,钱钟书,徐志摩,钱钟书,factoid
鲁迅的 在酒楼上 中 他在哪间熟悉的酒馆遇到了故人吕纬甫,一石居,一豆居,一石居,factoid
高锰酸钾的化学式是,KMno4,KFCO4,KMno4,factoid
波音公司总部位于美国哪座城市,芝加哥,休斯顿,,factoid
杨宗纬的歌里唱到 一层一层的剥开我的心 的蔬菜指的是,芹菜,洋葱,洋葱,factoid
著名的 舟山群岛 位于我国的哪片海域,东海,黄海,东海,factoid
葡萄糖的物质状态是,黑色晶体,无色晶体,无色晶体,factoid
欧冠改制以后第一个成功卫冕欧冠冠军的球队是,皇家马德里,利物浦,,factoid
清代小说 儒林外史 中范进是因为哪场考试中举而发疯,乡试,县试,,factoid
秦时明月 中被称为剑圣的是,张良,盖聂,,factoid
著名作曲家巴赫是哪国人,法国,德国,德国,factoid
橡胶王国 是形容的哪个东南亚国家,印度尼西亚,马来西亚,马来西亚,factoid
泰戈尔是俄国作家,错误,正确,错误,yesno
中国古代神话传说中的 巫山神女 名叫,瑶姬,乐姬,,factoid
悲惨世界 的主人公因偷了什么东西而服了19年苦役,一片面包,一些钱,一片面包,factoid
五线谱最早发源于哪个国家,意大利,希腊,希腊,factoid
居民消费价格指数 的简写是,CPI,PPICPI,,factoid
春种一粒粟 的下一句是,农夫犹饿死,秋收万颗子,秋收万颗子,factoid
严重缺碘的地区易发生下列哪种疾病,大脖子病,脚气病,大脖子病,factoid
下列哪部电影不是梦工厂出品,马达加斯加,怪兽电力公司,怪兽电力公司,factoid
东汉的第一位皇帝是,王莽,刘秀,刘秀,factoid
一切物体都有惯性 出自哪项物理定律,牛顿定律,欧姆定律,牛顿定律,factoid
常说的 天网恢恢 的下一句是,疏而不漏,要下小雨,,factoid
南非第一位民选黑人总统是,莫特兰蒂,曼德拉,曼德拉,factoid
水浒传 中 绰号为 没羽箭 的好汉是,张青,张清,,factoid
秦昭王的本名是,赢荡,赢稷,,factoid
我国武术有两大派 分别是 南拳和,北腿,武当拳,北腿,factoid
中国第四大岛是,崇明岛,舟山岛,舟山岛,factoid
四大名著 水浒传 中绰号是 神机军师 的是哪位好汉,朱武,公孙胜,朱武,factoid
品茗 是对哪种行为的雅称,吃饭,饮茶,饮茶,factoid
老挝的首都是,万象,万荣,万象,factoid
氢原子的相对分子质量是多少,1,2,1,factoid
佟湘玉是哪部著名电视剧中的主要角色,多情江山,武林外传,武林外传,factoid
明朝时 七下西洋 的中国航海家是,徐霞客,郑和,郑和,factoid
以下哪个字没有 黑色 的意思,苍,玄,苍,factoid
戌字的读音是,shu,XU,XU,factoid
宝莲灯 主人公沉香如果正月去剃头发 哪位神仙最惊慌,嫦娥,二郎神,二郎神,factoid
下列哪个国家不是金砖国家之,俄罗斯,新加坡,新加坡,factoid
电视剧 西游记 中 红孩儿的父亲是,牛魔王,孙悟空,牛魔王,factoid
一寸的水管直径是,32mm,25mm,25mm,factoid
北京故宫是始建于哪个朝代,元朝,明朝,明朝,factoid
如何获得多多果园的护院犬,点点树就有,惊喜宝箱内兑,惊喜宝箱内兑,factoid
世界上最长的人工运河是,灵渠,京杭大运河,京杭大运河,factoid
下列选项中哪个不属于 黄山四绝 之一,云梯,奇松,云梯,factoid
西游记 中 猪八戒取经归来修得正果 获得的封号是,广力菩萨,净坛使者,净坛使者,factoid
中国历史上第一位太后是,武则天,宣太后,武则天,factoid
冰岛的首都是哪座城市,雷克雅未克,雷克未雅克,雷克雅未克,factoid
世界三大棉产地 分别是中国 美国和哪个国家,乌兹别克斯坦,韩国,乌兹别克斯坦,factoid
破釜沉舟 这个成语出于哪次战争,巨鹿之战,长平之战,,factoid
世界上最早的通讯社哈瓦斯社诞生在哪个国家?,法国,,法国,factoid
红药水不能和碘酒一起使用 会有毒性物质产生,错误,正确,正确,yesno
玩这个答题游戏 怎么做容易获得较高的排名 拿更多奖励,和朋友组队玩,自己一个人玩,和朋友组队玩,factoid
床前明月光 的下一句是,疑是地上霜,海内存知己,疑是地上霜,factoid
下列哪个是亚洲与欧洲的分界线,丹麦海峡,土耳其海峡,土耳其海峡,factoid
哪个湖泊2009年被 中国国家地理 评为 中国最美湖泊,西湖,喀纳斯湖,喀纳斯湖,factoid
围棋棋盘一共有多少个交叉点,361,289,361,factoid
目前已知的全天最亮星是,天狼星,老人星,天狼星,factoid
中国最大的一尊摩崖石刻造像是,灵坛大佛,乐山大佛,乐山大佛,factoid
我国最大的陆路口岸是,满洲里,绥芬河,满洲里,factoid
下列哪种讨论方法是采用 背靠背 的通讯方式讨论,德尔菲法,神仙会,德尔菲法,factoid
江春入旧年 的上一句是,海日生残夜,海日升残夜,海日生残夜,factoid
下列景点哪个不属于西湖 老十景,断桥残雪,龙井探茶,龙井探茶,factoid
世界上国土面积第5大的国家是哪个国家,澳大利亚,巴西,澳大利亚,factoid
唐朝时 唐高宗在哪里设立了 市舶司 来处理外商贸易事易,浙江,广州,广州,factoid
电视剧 笑傲江湖 中 被东方不败篡位的日月神教教主是谁,任盈盈,任我行,任我行,factoid
出师未捷身先死 长使英雄泪满襟 出自哪位诗人笔下,辛弃疾,杜甫,杜甫,factoid
希腊神话中宙斯和阿波罗的关系是,父子,兄弟,父子,factoid
电子信息容量的量纲中 1TB等于,1024GB,1024MB,1024GB,factoid
二战中日本宣布投降 并接受以下哪部宣言,波斯坦,巴黎,巴黎,factoid
电影 第一滴血 的主演是,施瓦辛格,史泰龙,史泰龙,factoid
便纵有千种风情 更与何人说 出自哪位诗人笔下,秦观,柳永,柳永,factoid
19世纪初首先提出原子学说的科学家是,道尔顿,安培,道尔顿,factoid
中国历史上在位时间最长的皇帝是,乾隆皇帝,康熙皇帝,康熙皇帝,factoid
名著 战争与和平 讲述的是哪场战争,法俄战争,日俄战争,法俄战争,factoid
传说为关羽 刮骨疗伤 的是名医扁鹊,错误,正确,错误,yesno
因相传从波斯传入而取名 阿月浑子 的是哪种干果,腰果,开心果,开心果,factoid
东风不与周郎便 铜雀春深锁二乔 描写的是古代战役赤壁之战,错误,正确,正确,yesno
大家常说的 魔都 指的是哪座城市,天津,上海,上海,factoid
蒂凡尼的早餐 是由哪位女演员主演的,码丽莲梦露,奥黛丽·赫本,奥黛丽·赫本,factoid
我国 执行中央银行职能 的是哪一银行,中国人民银行,中国银行,中国人民银行,factoid
我国首位升空的女航天员叫什么名字,刘洋,刘阳,刘洋,factoid
我国新文学史上第一篇短篇小说是,狂人日记,梦溪笔谈,狂人日记,factoid
电视剧 三国演义 中 下列不属于 三国 之一的是,汉,楚,楚,factoid
全球岩石圈划分为几大板块,六大板块,八大板块,六大板块,factoid
网络用语 酱紫 是什么意思,这样的,这样子,这样子,factoid
热带水果火龙果的原产地是,东南亚,中美洲,中美洲,factoid
